"ID Caso","ID Caso Relacionado","Año","Mes","Día","Código DANE de Municipio","Municipio","Departamento","Región","Modalidad","Presunto Responsable","Descripción Presunto Responsable","Abandono o Despojo Forzado de Tierras","Amenaza o Intimidación","Ataque Contra Misión Médica","Confinamiento o Restricción a la Movilidad","Desplazamiento Forzado","Extorsión","Lesionados Civiles","Pillaje","Tortura","Violencia Basada en Género","Otro Hecho Simultáneo","Total de Víctimas del Caso","Tipo de Armas","latitud-longitud"
"148,318",,"1,997","11","1","05045","APARTADO","ANTIOQUIA","URABA","DESCONOCIDA","GRUPO PARAMILITAR","NO IDENTIFICADO","0","1","0","0","0","0","0","0","2",,,"6","ARMA DE FUEGO","POINT (-76.66883746 7.864565017)"
"149,731",,"1,993","1","23","05138","CAÑASGORDAS","ANTIOQUIA","OCCIDENTE ANTIOQUEÑO","ENGAÑO","GRUPO ARMADO NO DIRIMIDO","NO APLICA","0","0","0","0","0","0","0","0","4",,,"4","ARMA DE FUEGO","POINT (-76.03126526 6.921257492)"
"150,107",,"1,996","0","0","05154","CAUCASIA","ANTIOQUIA","BAJO CAUCA ANTIOQUEÑO","RETENCIÓN/EJECUCIÓN","GRUPO PARAMILITAR","BLOQUE CENTRAL BOLÍVAR","0","0","0","0","0","0","0","0","2",,,"4","ARMA DE FUEGO","POINT (-75.03501824 7.867941792)"
"152,261",,"2,000","1","23","05467","MONTEBELLO","ANTIOQUIA","SUROESTE ANTIOQUEÑO","FALSO POSITIVO","AGENTE DEL ESTADO - GRUPO PARAMILITAR","NO APLICA","0","0","0","0","0","0","0","0","2",,"OCULTAMIENTO DE CADÁVER","4","ARMA DE FUEGO","POINT (-75.54635949 5.917729977)"
"156,825","CR036021","1,995","11","15","13001","CARTAGENA DE INDIAS","BOLIVAR","CANAL DEL DIQUE","RUTA","GRUPO ARMADO NO IDENTIFICADO","NO APLICA","0","1","0","0","0","0","1","0","0",,,"6","ARMA DE FUEGO","POINT (-75.496269 10.385126)"
"157,270",,"1,994","9","6","13244","EL CARMEN DE BOLIVAR","BOLIVAR","MONTES DE MARIA","RUTA","GRUPO ARMADO NO IDENTIFICADO","NO APLICA","1","1","0","0","1","0","0","0","0",,,"4","ARMA DE FUEGO","POINT (-75.03568842 9.582133841)"
"157,579",,"1,996","5","30","13654","SAN JACINTO","BOLIVAR","MONTES DE MARIA","DESCONOCIDA","GRUPO PARAMILITAR","AUTODEFENSAS CAMPESINAS DE CÓRDOBA Y URABÁ (ACCU)","1","1","0","0","1","0","0","0","0",,,"7","ARMA DE FUEGO","POINT (-75.2073624 9.80481703)"
"157,739",,"1,998","6","24","13670","SAN PABLO","BOLIVAR","MAGDALENA MEDIO","RUTA","GRUPO PARAMILITAR","BLOQUE CENTRAL BOLÍVAR","0","0","0","0","0","0","0","0","5",,,"5","ARMA DE FUEGO","POINT (-73.86338774 7.679542969)"
"157,847",,"1,999","5","25","13744","SIMITI","BOLIVAR","MAGDALENA MEDIO","ASALTO","GRUPO PARAMILITAR","AUTODEFENSAS UNIDAS DE COLOMBIA AUC","0","0","0","0","0","0","0","0","0",,,"5","ARMA DE FUEGO","POINT (-74.01472201 7.845000908)"
"158,895",,"2,002","4","27","18410","LA MONTAÑITA","CAQUETA","FLORENCIA Y AREA DE INFLUENCIA","RETENCIÓN/EJECUCIÓN","GUERRILLA","FARC","1","1","0","0","1","0","0","0","4",,,"4","ARMA DE FUEGO","POINT (-75.32390944 1.223428359)"
"160,518","CR021640","1,999","6","20","20001","VALLEDUPAR","CESAR","SIERRA NEVADA DE SANTA MARTA","RETENCIÓN/EJECUCIÓN","GRUPO PARAMILITAR","AUTODEFENSAS UNIDAS DE COLOMBIA AUC","0","0","0","0","0","0","0","0","5",,,"5","ND","POINT (-73.49147102 10.2239374)"
"161,485",,"1,996","11","23","20383","LA GLORIA","CESAR","MAGDALENA MEDIO","DESCONOCIDA","GRUPO ARMADO NO IDENTIFICADO","NO APLICA","0","0","0","0","0","0","0","0","4",,,"4","ARMA DE FUEGO","POINT (-73.63559006 8.611747185)"
"162,360",,"1,989","11","10","23580","PUERTO LIBERTADOR","CORDOBA","ALTO SINU Y SAN JORGE","FALSO POSITIVO","AGENTE DEL ESTADO","EJÉRCITO NACIONAL","0","0","0","0","0","0","0","0","0",,,"4","ARMA DE FUEGO","POINT (-75.7795249 7.78160473)"
"162,668",,"1,991","6","30","23855","VALENCIA","CORDOBA","URABA","RETENCIÓN/EJECUCIÓN","GRUPO PARAMILITAR","NO IDENTIFICADO","0","1","0","0","1","0","0","0","2",,,"4","ARMA DE FUEGO","POINT (-76.17018321 8.175460769)"
"163,072",,"1,986","8","3","25885","YACOPI","CUNDINAMARCA","MAGDALENA MEDIO","RUTA","GUERRILLA","FARC","0","1","0","0","1","0","0","0","0",,,"4","ARMA DE FUEGO","POINT (-74.38946399 5.594240312)"
"164,085",,"2,000","12","5","44090","DIBULLA","LA GUAJIRA","SIERRA NEVADA DE SANTA MARTA","RUTA","GRUPO PARAMILITAR","AUTODEFENSAS UNIDAS DE COLOMBIA AUC","1","0","0","1","1","0","0","0","4",,,"4","ARMA CORTO PUNZANTE - ARMA DE FUEGO","POINT (-73.43568788 11.09029715)"
"164,509",,"2,006","4","2","44650","SAN JUAN DEL CESAR","LA GUAJIRA","SIERRA NEVADA DE SANTA MARTA","FALSO POSITIVO","AGENTE DEL ESTADO","EJÉRCITO NACIONAL","0","0","0","0","0","0","0","0","0",,,"4","ARMA DE FUEGO","POINT (-73.02923056 10.74742823)"
"170,331",,"1,998","10","16","68081","BARRANCABERMEJA","SANTANDER","MAGDALENA MEDIO","ATAQUE INDISCRIMINADO","GRUPO ARMADO NO IDENTIFICADO","NO APLICA","0","0","0","0","0","0","0","0","0",,,"6","ARMA DE FUEGO","POINT (-73.849313 7.064855)"
"172,143",,"1,995","12","7","70708","SAN MARCOS","SUCRE","LA MOJANA","INTERCEPTACIÓN","GRUPO PARAMILITAR","NO IDENTIFICADO","0","1","0","0","0","1","0","0","0",,,"5","ARMA DE FUEGO","POINT (-75.20848415 8.665102454)"
"172,225",,"1,997","3","19","70713","SAN ONOFRE","SUCRE","MONTES DE MARIA","RUTA","GRUPO PARAMILITAR","AUTODEFENSAS UNIDAS DE COLOMBIA AUC","0","1","0","1","1","0","0","0","0",,,"4","ARMA DE FUEGO","POINT (-75.573028 9.897567531)"
"172,612","CR016033","2,000","1","21","73067","ATACO","TOLIMA","SUR DEL TOLIMA","DESCONOCIDA","GUERRILLA","FARC","0","0","0","0","0","0","0","1","0",,,"4","ND","POINT (-75.60687957 3.397816313)"
"174,815",,"2,009","10","2","81736","SARAVENA","ARAUCA","SARARE","RETENCIÓN/EJECUCIÓN","GUERRILLA","ELN","0","0","0","0","0","0","0","0","5",,,"5","ARMA DE FUEGO","POINT (-71.69737096 7.032627821)"
"177,031","CR042069","1,996","11","22","20001","VALLEDUPAR","CESAR","SIERRA NEVADA DE SANTA MARTA","RUTA","GRUPO PARAMILITAR","AUTODEFENSAS CAMPESINAS DE CÓRDOBA Y URABÁ (ACCU)","1","0","0","0","1","0","1","0","1",,,"7","ARMA DE FUEGO - OBJETO CONTUNDENTE","POINT (-73.18154931 10.55752179)"
"177,169","CR2017177169","2,001","10","26","73483","NATAGAIMA","TOLIMA","SUR DEL TOLIMA","INCURSIÓN","GRUPO PARAMILITAR","AUTODEFENSAS UNIDAS DE COLOMBIA AUC","1","0","0","0","1","0","0","0","2",,"OCULTAMIENTO DE CADÁVER","10","ARMA DE FUEGO - ARTEFACTO EXPLOSIVO","POINT (-75.093478 3.624858538)"
"177,229",,"2,001","2","27","68271","FLORIAN","SANTANDER","PROVINCIA DE VELEZ","CITACIÓN","GRUPO PARAMILITAR","AUTODEFENSAS CAMPESINAS DEL MAGDALENA MEDIO","0","0","0","0","0","0","0","0","0",,,"4","ARMA DE FUEGO","POINT (-73.97142307 5.804666368)"
"179,433",,"2,001","8","14","52835","SAN ANDRES DE TUMACO","NARIÑO","ANDEN PACIFICO SUR","RUTA","GRUPO PARAMILITAR","BLOQUE CENTRAL BOLÍVAR","0","0","0","0","0","0","0","0","0",,"SEÑALAMIENTO","6","ARMA DE FUEGO","POINT (-78.764073 1.807399)"
"181,197",,"1,999","6","15","05690","SANTO DOMINGO","ANTIOQUIA","NORDESTE ANTIOQUEÑO","RUTA","GRUPO PARAMILITAR","AUTODEFENSAS UNIDAS DE COLOMBIA AUC","0","0","0","0","0","0","0","0","3",,,"4","ARMA CORTO PUNZANTE - ARMA DE FUEGO - OBJETO CONTUNDENTE","POINT (-75.14260097 6.481044132)"
"181,342",,"2,000","3","26","05893","YONDO","ANTIOQUIA","MAGDALENA MEDIO","INCURSIÓN","GRUPO PARAMILITAR","AUTODEFENSAS UNIDAS DE COLOMBIA AUC","0","1","0","0","1","0","0","0","5",,,"5","ARMA DE FUEGO","POINT (-74.15824041 6.925159318)"
"181,507","CR2017181507","2,005","4","6","13458","MONTECRISTO","BOLIVAR","LA MOJANA","RUTA","GRUPO PARAMILITAR","AUTODEFENSAS UNIDAS DE COLOMBIA AUC","1","1","0","0","1","1","0","1","3",,"OCULTAMIENTO DE CADÁVER","7","OBJETO CONTUNDENTE","POINT (-74.58612444 8.065312257)"
"182,209",,"2,001","11","2","23001","MONTERIA","CORDOBA","ALTO SINU Y SAN JORGE","ASALTO","GRUPO PARAMILITAR","AUTODEFENSAS UNIDAS DE COLOMBIA AUC","0","0","0","0","1","0","2","0","0",,"VENTA A BAJO PRECIO","7","ARMA DE FUEGO","POINT (-75.875576 8.74513)"
"183,845","CR013425","2,001","5","21","13052","ARJONA","BOLIVAR","CANAL DEL DIQUE","RUTA","GRUPO PARAMILITAR","AUTODEFENSAS UNIDAS DE COLOMBIA AUC","0","0","0","0","0","0","0","0","0",,,"6","ARMA DE FUEGO","POINT (-75.47583781 10.11920214)"
"184,027",,"2,002","5","13","17524","PALESTINA","CALDAS","EJE CAFETERO","RETENCIÓN/EJECUCIÓN","GRUPO PARAMILITAR","AUTODEFENSAS UNIDAS DE COLOMBIA AUC","0","1","0","0","0","1","3","0","0",,,"4","ARMA DE FUEGO","POINT (-75.70292865 5.111053843)"
"184,609",,"1,988","4","19","50573","PUERTO LOPEZ","META","ALTILLANURA","RETENCIÓN/EJECUCIÓN","GRUPO ARMADO NO IDENTIFICADO","NO APLICA","0","1","0","0","1","0","1","0","0",,,"4","ARMA DE FUEGO","POINT (-73.04789452 4.056789254)"
